scenario,num_docs,chunk_size,num_workers,duration_s,docs_per_s,cpu_mean,cpu_max,mem_peak_mb
py314-baseline-threads,1000,1000,4,44.37024334799935,22.537627124487923,348.17163323782233,414.8,921.65234375
py314-baseline-mp,1000,1000,4,86.6165326679984,11.545140046565994,1.4314037626628076,38.0,4182.43359375
py314t-baseline-threads,1000,1000,4,49.258117493998725,20.301222435506862,325.44931506849315,414.2,1011.2890625
py314t-baseline-mp,1000,1000,4,73.27738944999874,13.646774366632643,2.9385642737896496,20.0,4489.5546875
py314-baseline-threads,5000,1000,4,218.51185553899995,22.882053642657393,358.78474870017334,408.9,952.75390625
py314-baseline-mp,5000,1000,4,360.45735119599703,13.87126655458685,5.251788756388415,94.4,4223.51171875
py314t-baseline-threads,5000,1000,4,243.85502656500466,20.503985792013786,344.6460362400906,409.2,1049.50390625
py314t-baseline-mp,5000,1000,4,379.8301010840005,13.163780294743507,6.715270770265725,69.9,4554.82421875
py314-baseline-threads,10000,1000,4,482.444673031001,20.727765397789806,354.84473404255317,412.6,1011.67578125
py314-baseline-mp,10000,1000,4,719.599921426001,13.896610744736353,7.9962969254289105,86.7,4292.25390625
py314t-baseline-threads,10000,1000,4,485.1188068929987,20.61350716136155,349.78263656633226,424.8,1118.9609375
py314t-baseline-mp,10000,1000,4,731.3135766199994,13.674024822864922,8.578459173214897,89.8,4609.87890625
